name,available,base_power,constant_active_power,constant_reactive_power,impedance_active_power,impedance_reactive_power,current_active_power,current_reactive_power,max_constant_active_power,max_constant_reactive_power,max_impedance_active_power,max_impedance_reactive_power,max_current_active_power,max_current_reactive_power
load_73006~TS,true,100.0,4.54,-0.27,0.0,0.0,0.0,0.0,4.54,-0.27,0.0,0.0,0.0,0.0
load_73007~TS,true,100.0,9.2,2.47,0.0,0.0,0.0,0.0,9.2,2.47,0.0,0.0,0.0,0.0
load_73010~TS,true,100.0,1.77,-0.16,0.0,0.0,0.0,0.0,1.77,-0.16,0.0,0.0,0.0,0.0
load_73023~TS,true,100.0,7.780000000000001,0.75,0.0,0.0,0.0,0.0,7.780000000000001,0.75,0.0,0.0,0.0,0.0
load_73023~PS,true,100.0,1.199,0.4,0.0,0.0,0.0,0.0,1.199,0.4,0.0,0.0,0.0,0.0
load_73024~TS,true,100.0,6.15,2.02,0.0,0.0,0.0,0.0,6.15,2.02,0.0,0.0,0.0,0.0
load_73025~TS,true,100.0,6.13,1.4,0.0,0.0,0.0,0.0,6.13,1.4,0.0,0.0,0.0,0.0
load_73030~TS,true,100.0,19.97,3.51,0.0,0.0,0.0,0.0,19.97,3.51,0.0,0.0,0.0,0.0
load_73031~TS,true,100.0,4.39,0.4,0.0,0.0,0.0,0.0,4.39,0.4,0.0,0.0,0.0,0.0
load_73034~PS,true,100.0,10.234,3.411,0.0,0.0,0.0,0.0,10.234,3.411,0.0,0.0,0.0,0.0
load_73039~TS,true,100.0,3.9699999999999998,1.22,0.0,0.0,0.0,0.0,3.9699999999999998,1.22,0.0,0.0,0.0,0.0
load_73047~TS,true,100.0,23.82,2.39,0.0,0.0,0.0,0.0,23.82,2.39,0.0,0.0,0.0,0.0
load_73053~TS,true,100.0,15.68,1.1,0.0,0.0,0.0,0.0,15.68,1.1,0.0,0.0,0.0,0.0
load_73059~MU,true,100.0,0.6,0.2,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0
load_73059~TS,true,100.0,1.32,-0.05,0.0,0.0,0.0,0.0,1.32,-0.05,0.0,0.0,0.0,0.0
load_73061~TS,true,100.0,16.12,-5.3,0.0,0.0,0.0,0.0,16.12,-5.3,0.0,0.0,0.0,0.0
load_73063~TS,true,100.0,11.81,-0.02,0.0,0.0,0.0,0.0,11.81,-0.02,0.0,0.0,0.0,0.0
load_73063~MU,true,100.0,5.4,1.8000000000000003,0.0,0.0,0.0,0.0,5.4,1.8000000000000003,0.0,0.0,0.0,0.0
load_73065~TS,true,100.0,1.25,0.31,0.0,0.0,0.0,0.0,1.25,0.31,0.0,0.0,0.0,0.0
load_73072~TS,true,100.0,2.64,-0.29,0.0,0.0,0.0,0.0,2.64,-0.29,0.0,0.0,0.0,0.0
load_73080~TS,true,100.0,4.94,0.07,0.0,0.0,0.0,0.0,4.94,0.07,0.0,0.0,0.0,0.0
load_73080~MU,true,100.0,2.4,0.8,0.0,0.0,0.0,0.0,2.4,0.8,0.0,0.0,0.0,0.0
load_73083~TS,true,100.0,8.47,2.78,0.0,0.0,0.0,0.0,8.47,2.78,0.0,0.0,0.0,0.0
load_73088~TS,true,100.0,1.69,0.22999999999999998,0.0,0.0,0.0,0.0,1.69,0.22999999999999998,0.0,0.0,0.0,0.0
load_73090~TS,true,100.0,3.71,-1.22,0.0,0.0,0.0,0.0,3.71,-1.22,0.0,0.0,0.0,0.0
load_73091~TS,true,100.0,7.41,-0.04,0.0,0.0,0.0,0.0,7.41,-0.04,0.0,0.0,0.0,0.0
load_73094~TS,true,100.0,8.56,-1.27,0.0,0.0,0.0,0.0,8.56,-1.27,0.0,0.0,0.0,0.0
load_73095~TS,true,100.0,7.57,3.64,0.0,0.0,0.0,0.0,7.57,3.64,0.0,0.0,0.0,0.0
load_73098~TS,true,100.0,26.86,8.83,0.0,0.0,0.0,0.0,26.86,8.83,0.0,0.0,0.0,0.0
load_73103~TS,true,100.0,2.45,-0.02,0.0,0.0,0.0,0.0,2.45,-0.02,0.0,0.0,0.0,0.0
load_73114~TS,true,100.0,10.29,3.2,0.0,0.0,0.0,0.0,10.29,3.2,0.0,0.0,0.0,0.0
load_73117~TS,true,100.0,3.53,0.4,0.0,0.0,0.0,0.0,3.53,0.4,0.0,0.0,0.0,0.0
load_73127~MU,true,100.0,2.9,0.967,0.0,0.0,0.0,0.0,2.9,0.967,0.0,0.0,0.0,0.0
load_73132~TS,true,100.0,4.06,-0.12,0.0,0.0,0.0,0.0,4.06,-0.12,0.0,0.0,0.0,0.0
load_73136~TS,true,100.0,3.18,0.07,0.0,0.0,0.0,0.0,3.18,0.07,0.0,0.0,0.0,0.0
load_73145~TS,true,100.0,2.87,0.9399999999999998,0.0,0.0,0.0,0.0,2.87,0.9399999999999998,0.0,0.0,0.0,0.0
load_73147~TS,true,100.0,8.66,0.55,0.0,0.0,0.0,0.0,8.66,0.55,0.0,0.0,0.0,0.0
load_73150~PS,true,100.0,1.35,0.45000000000000007,0.0,0.0,0.0,0.0,1.35,0.45000000000000007,0.0,0.0,0.0,0.0
load_73159~TS,true,100.0,8.77,0.44,0.0,0.0,0.0,0.0,8.77,0.44,0.0,0.0,0.0,0.0
load_73166~TS,true,100.0,5.83,0.65,0.0,0.0,0.0,0.0,5.83,0.65,0.0,0.0,0.0,0.0
load_73171~TS,true,100.0,1.03,0.34,0.0,0.0,0.0,0.0,1.03,0.34,0.0,0.0,0.0,0.0
load_73172~TS,true,100.0,1.49,0.49,0.0,0.0,0.0,0.0,1.49,0.49,0.0,0.0,0.0,0.0
load_73174~TS,true,100.0,2.25,0.53,0.0,0.0,0.0,0.0,2.25,0.53,0.0,0.0,0.0,0.0
load_73175~TS,true,100.0,9.54,0.95,0.0,0.0,0.0,0.0,9.54,0.95,0.0,0.0,0.0,0.0
load_73184~TS,true,100.0,13.119999999999997,3.52,0.0,0.0,0.0,0.0,13.119999999999997,3.52,0.0,0.0,0.0,0.0
load_73185~TS,true,100.0,2.2,-0.24,0.0,0.0,0.0,0.0,2.2,-0.24,0.0,0.0,0.0,0.0
load_73191~PS,true,100.0,50.99199999999999,16.997,0.0,0.0,0.0,0.0,50.99199999999999,16.997,0.0,0.0,0.0,0.0
load_73194~TS,true,100.0,0.78,0.26,0.0,0.0,0.0,0.0,0.78,0.26,0.0,0.0,0.0,0.0
load_73203~TS,true,100.0,9.39,3.58,0.0,0.0,0.0,0.0,9.39,3.58,0.0,0.0,0.0,0.0
load_73207~TS,true,100.0,5.3,1.42,0.0,0.0,0.0,0.0,5.3,1.42,0.0,0.0,0.0,0.0
load_73208~TS,true,100.0,10.89,0.31,0.0,0.0,0.0,0.0,10.89,0.31,0.0,0.0,0.0,0.0
load_73210~TS,true,100.0,12.16,0.39,0.0,0.0,0.0,0.0,12.16,0.39,0.0,0.0,0.0,0.0
load_73213~TS,true,100.0,3.9599999999999995,-0.04,0.0,0.0,0.0,0.0,3.9599999999999995,-0.04,0.0,0.0,0.0,0.0
load_73218~TS,true,100.0,13.62,3.84,0.0,0.0,0.0,0.0,13.62,3.84,0.0,0.0,0.0,0.0
load_73219~TS,true,100.0,4.08,-1.34,0.0,0.0,0.0,0.0,4.08,-1.34,0.0,0.0,0.0,0.0
load_73220~WA,true,100.0,8.911,2.97,0.0,0.0,0.0,0.0,8.911,2.97,0.0,0.0,0.0,0.0
load_73221~TS,true,100.0,0.8500000000000001,0.28,0.0,0.0,0.0,0.0,0.8500000000000001,0.28,0.0,0.0,0.0,0.0
load_73230~MU,true,100.0,7.9,2.633,0.0,0.0,0.0,0.0,7.9,2.633,0.0,0.0,0.0,0.0
load_73235~TS,true,100.0,5.3,1.47,0.0,0.0,0.0,0.0,5.3,1.47,0.0,0.0,0.0,0.0
load_73297~TS,true,100.0,4.33,0.3,0.0,0.0,0.0,0.0,4.33,0.3,0.0,0.0,0.0,0.0
load_73301~TS,true,100.0,1.2,0.39,0.0,0.0,0.0,0.0,1.2,0.39,0.0,0.0,0.0,0.0
